tahun,bulan,jenis,kode_trayek,trayek,jumlah_penumpang
2021,11,Mikrotrans,JAK.88,Terminal Tanjung Priok - Ancol Barat,40135
2021,11,Mikrotrans,JAK.85,Bintara - Cipinang Indah,38487
2021,11,Mikrotrans,JAK.84,Terminal Kampung Melayu - Kapin Raya,49142
2021,11,Mikrotrans,JAK.80,Rawa Buaya - Rawa Kompeni,66701
2021,11,Mikrotrans,JA.77,Tanjung Priok - Jembatan Item,75248
2021,11,Mikrotrans,JAK.75,Cililitan - Kp. Pulo,56825
2021,11,Mikrotrans,JAK.74,Terminal Rawamangun - Cipinang Muara,55667
2021,11,Mikrotrans,JAK.73,Jambore Cibubur - Pasar Rebo,84918
2021,11,Mikrotrans,JAK.72,Kampung Rambutan - Pasar Rebo via Poncol,100864
2021,11,Mikrotrans,JAK.71,Kampung Rambutan - Pinang Ranti,65152
2021,11,Mikrotrans,JAK.64,Lenteng Agung - Aseli,61617
2021,11,Mikrotrans,JAK.61,Cempaka Putih - Pulo Gadung via Kelapa Gading,43632
2021,11,Mikrotrans,JAK.60,Kelapa Gading - Rusun Kemayoran,79618
2021,11,Mikrotrans,JAK.59,Rawamangun - Tanah Merah,84370
2021,11,Mikrotrans,JAK.58,Cilingcing - Rorotan,110584
2021,11,Mikrotrans,JAK.56,Grogol - Srengseng,55986
2021,11,Mikrotrans,JAK.54,Grogol - Benhil,52566
2021,11,Mikrotrans,JAK.53,Grogol - Pos Pengumben via Slipi,61754
2021,11,Mikrotrans,JAK.52,Kalideres - Muara Angke,79531
2021,11,Mikrotrans,JAK.51,Taman Kota - Budi Luhur,122865
2021,11,Mikrotrans,JAK.50,Kalideres - Puri Kembangan,77204
2021,11,Mikrotrans,JAK.49,Lebak Bulus - Cipulir,50611
2021,11,Mikrotrans,JAK.47,Pasar Minggu - Ciganjur via KB Ragunan,63835
2021,11,Mikrotrans,JAK.46,Pasar Minggu - Jagakarsa,106263
2021,11,Mikrotrans,JAK.45,Lebak Bulus - Ragunan,55555
2021,11,Mikrotrans,JAK.44,Andara - Stasiun Universitas Pancasila,75946
2021,11,Mikrotrans,JAK.43,Tongtek - Cililitan,104411
2021,11,Mikrotrans,JAK.42,Kampung Melayu - Pondok Kelapa,84595
2021,11,Mikrotrans,JAK.41,Kampung Melayu - Ppulo Gadung,52250
2021,11,Mikrotrans,JAK.40,Harapan Baru - Pulo Gebang via Rawa Kuning,47573
