tahun,bulan,jenis,kode_trayek,trayek,jumlah_penumpang
2021,12,BRT,3,Kalideres - Pasar Baru,465124
2021,12,BRT,2,Pulo Gadung 1 - Harmoni,380760
2021,12,BRT,13,Ciledug - Tendean,337233
2021,12,BRT,12,Penjaringan - Sunter Bouleverd Barat,167399
2021,12,BRT,11,Pulo Gebang - Kampung Melayu,163776
2021,12,BRT,10,Tanjung Priok - PGC 2,419198
2021,12,BRT,1,Blok M - Kota,1131439
2021,12,Angkutan Umum Integrasi,9H,Cipedak - Blok M,0
2021,12,Angkutan Umum Integrasi,9E,Kebayoran Lama - Jelambar,0
2021,12,Angkutan Umum Integrasi,9D,Pasar Minggu - Tanah Abang,0
2021,12,Angkutan Umum Integrasi,8K,Batu Sari-Tanah Abang,0
2021,12,Angkutan Umum Integrasi,8E,Bintaro - Blok M,0
2021,12,Angkutan Umum Integrasi,8D,Joglo - Blok M,0
2021,12,Angkutan Umum Integrasi,8C,Kebayoran Lama - Tanah Abang,0
2021,12,Angkutan Umum Integrasi,7P,Pondok Kelapa - BKN,0
2021,12,Angkutan Umum Integrasi,7D,Pancoran - TMII,0
2021,12,Angkutan Umum Integrasi,7B,Kampung Rambutan - Blok M,0
2021,12,Angkutan Umum Integrasi,7A,Kampung Rambutan - Lebak Bulus,0
2021,12,Angkutan Umum Integrasi,6R,Ragunan - Stasin MRT Fatmawati,0
2021,12,Angkutan Umum Integrasi,6N,Ragunan - Blok M via Kemang,0
2021,12,Angkutan Umum Integrasi,6M,Stasiun Manggarai - Blok  M,0
2021,12,Angkutan Umum Integrasi,6H,Senen - Lebak Bulus,8
2021,12,Angkutan Umum Integrasi,6C,Stasin Tebet - Karet via Patra Kuningan,0
2021,12,Angkutan Umum Integrasi,5M,Kampung Melayu - Tanah Abang via Cikini,0
2021,12,Angkutan Umum Integrasi,5F,Kampung Melayu - Tanah Abang,0
2021,12,Angkutan Umum Integrasi,5B,Stasiun Tebet - Bidara Cina,0
2021,12,Angkutan Umum Integrasi,4F,Pinang Ranti - Pulo Gadung,0
2021,12,Angkutan Umum Integrasi,4B,Stasiun Manggarai - UI,0
2021,12,Angkutan Umum Integrasi,3E,Sentraland Cengkareng - Puri Kembangan,0
2021,12,Angkutan Umum Integrasi,1R,Senen - Tanah Abang,176
2021,12,Angkutan Umum Integrasi,1Q,Rempoa - Blok M,0
2021,12,Angkutan Umum Integrasi,1P,Senen - Bundaran Senayan,0
2021,12,Angkutan Umum Integrasi,1N,Tanah Abang - Blok M,0
2021,12,Angkutan Umum Integrasi,1M,Meruya - Blok M,0
2021,12,Angkutan Umum Integrasi,1H,Tanah Abang - Stasiun Gondangdia,0
2021,12,Angkutan Umum Integrasi,1F,Stasiun Palmerah - Bundaran Senayan,0
2021,12,Angkutan Umum Integrasi,1E,Pondok  Labu - Blok M,0
2021,12,Angkutan Umum Integrasi,1C,Pesanggrahan - Blok M,0
2021,12,Angkutan Umum Integrasi,1B,Stasiun Palmerah - Tosari,0
2021,12,Angkutan Umum Integrasi,1A,PIK - Balai Kota,0
2021,12,Angkutan Umum Integrasi,12B,Pluit - Senen,0
2021,12,Angkutan Umum Integrasi,11Q,Kampung Melayu - Pulo Gebang via BKT,0
2021,12,Angkutan Umum Integrasi,11D,Pulo Gebang - Pulo Gadung 2 via PIK,0
2021,12,Angkutan Umum Integrasi,10K,Tanjung Priok - Senen via Taman  BMW,0
